BACIA,AMBIENTE,ANO,INVESTIMENTO R$,INVESTIMENTO US$
Alagoas,MAR,2025,"0,00","0,00"
Alagoas,TERRA,2025,"108.317.900,00","21.663.580,00"
Alagoas,MAR,2026,"0,00","0,00"
Alagoas,TERRA,2026,"305.227.500,00","61.045.500,00"
Alagoas,MAR,2027,"0,00","0,00"
Alagoas,TERRA,2027,"376.007.500,00","75.201.500,00"
Alagoas,MAR,2028,"100.000.000,00","20.000.000,00"
Alagoas,TERRA,2028,"187.740.000,00","37.548.000,00"
Alagoas,MAR,2029,"0,00","0,00"
Alagoas,TERRA,2029,"81.210.000,00","16.242.000,00"
Amazonas,TERRA,2025,"402.582.125,00","73.196.750,00"
Amazonas,TERRA,2026,"376.291.850,00","68.416.700,00"
Amazonas,TERRA,2027,"199.471.745,00","36.267.590,00"
Amazonas,TERRA,2028,"196.950.325,00","35.809.150,00"
Amazonas,TERRA,2029,"34.402.370,60","6.915.230,00"
Barreirinhas,TERRA,2025,"8.998.000,00","1.636.000,00"
Barreirinhas,TERRA,2026,"0,00","0,00"
Barreirinhas,TERRA,2027,"0,00","0,00"
Barreirinhas,TERRA,2028,"0,00","0,00"
Barreirinhas,TERRA,2029,"0,00","0,00"
Camamu,MAR,2025,"0,00","0,00"
Camamu,TERRA,2025,"1.311.289,20","238.680,00"
Camamu,MAR,2026,"0,00","0,00"
Camamu,TERRA,2026,"0,00","0,00"
Camamu,MAR,2027,"0,00","0,00"
Camamu,TERRA,2027,"0,00","0,00"
Camamu,MAR,2028,"0,00","0,00"
Camamu,TERRA,2028,"0,00","0,00"
Camamu,MAR,2029,"0,00","0,00"
Camamu,TERRA,2029,"0,00","0,00"
Campos,MAR,2025,"48.066.773.182,30","9.333.815.880,00"
Campos,MAR,2026,"60.175.460.960,70","11.784.986.171,66"
Campos,MAR,2027,"40.264.859.062,80","8.038.011.090,00"
Campos,MAR,2028,"26.104.187.532,20","5.337.270.050,00"
Campos,MAR,2029,"21.151.115.251,40","4.332.632.990,00"
Ceará,MAR,2025,"9.544.700,00","1.908.940,00"
Ceará,MAR,2026,"256.345.308,60","51.997.020,00"
Ceará,MAR,2027,"598.466.215,80","122.888.340,00"
Ceará,MAR,2028,"544.724.405,40","112.779.380,00"
Ceará,MAR,2029,"642.917.679,90","134.220.810,00"
Cumuruxatiba,MAR,2025,"0,00","0,00"
Cumuruxatiba,MAR,2026,"0,00","0,00"
Cumuruxatiba,MAR,2027,"0,00","0,00"
Cumuruxatiba,MAR,2028,"0,00","0,00"
Cumuruxatiba,MAR,2029,"0,00","0,00"
Espírito Santo,MAR,2025,"427.993.200,00","79.258.000,00"
Espírito Santo,TERRA,2025,"90.284.366,20","16.608.550,00"
Espírito Santo,MAR,2026,"1.181.182.130,00","217.659.110,00"
Espírito Santo,TERRA,2026,"218.497.041,90","40.623.440,00"
Espírito Santo,MAR,2027,"1.857.783.600,00","344.034.000,00"
Espírito Santo,TERRA,2027,"224.543.976,60","42.972.760,00"
Espírito Santo,MAR,2028,"2.201.688.000,00","407.720.000,00"
Espírito Santo,TERRA,2028,"67.520.263,20","12.301.680,00"
Espírito Santo,MAR,2029,"328.248.072,00","60.786.680,00"
Espírito Santo,TERRA,2029,"39.209.049,00","7.274.070,00"
Mucuri,TERRA,2025,"10.853.750,00","2.170.750,00"
Mucuri,TERRA,2026,"0,00","0,00"
Mucuri,TERRA,2027,"0,00","0,00"
Mucuri,TERRA,2028,"0,00","0,00"
Mucuri,TERRA,2029,"0,00","0,00"
Paraná,TERRA,2025,"69.383.440,00","13.042.000,00"
Paraná,TERRA,2026,"5.570.040,00","1.047.000,00"
Paraná,TERRA,2027,"74.245.920,00","13.956.000,00"
Paraná,TERRA,2028,"5.958.400,00","1.120.000,00"
Paraná,TERRA,2029,"79.448.880,00","14.934.000,00"
Parnaíba,TERRA,2025,"234.601.125,00","42.654.750,00"
Parnaíba,TERRA,2026,"335.721.210,00","61.040.220,00"
Parnaíba,TERRA,2027,"383.020.165,00","69.640.030,00"
Parnaíba,TERRA,2028,"166.270.005,00","30.230.910,00"
Parnaíba,TERRA,2029,"0,00","0,00"
Potiguar,MAR,2025,"204.322.115,00","39.765.750,00"
Potiguar,TERRA,2025,"1.250.278.325,00","227.640.590,00"
Potiguar,MAR,2026,"1.142.219.039,20","231.252.730,00"
Potiguar,TERRA,2026,"2.794.440.185,00","504.383.840,00"
Potiguar,MAR,2027,"488.013.501,10","97.829.050,00"
Potiguar,TERRA,2027,"844.476.927,20","153.230.720,00"
Potiguar,MAR,2028,"128.711.220,00","23.402.040,00"
Potiguar,TERRA,2028,"719.715.076,20","130.393.510,00"
Potiguar,MAR,2029,"76.442.850,00","13.898.700,00"
Potiguar,TERRA,2029,"806.367.995,20","146.598.270,00"
Recôncavo,TERRA,2025,"1.305.039.100,20","252.876.040,00"
Recôncavo,TERRA,2026,"1.841.901.973,60","362.743.250,00"
Recôncavo,TERRA,2027,"1.548.324.729,00","306.330.850,00"
Recôncavo,TERRA,2028,"1.202.507.559,40","237.575.340,00"
Recôncavo,TERRA,2029,"857.640.474,40","172.120.480,00"
Santos,MAR,2025,"85.643.591.296,30","17.073.285.860,00"
Santos,MAR,2026,"79.035.284.359,00","16.008.537.330,00"
Santos,MAR,2027,"73.424.275.157,00","15.062.946.450,00"
Santos,MAR,2028,"63.989.698.829,30","13.229.195.550,00"
Santos,MAR,2029,"44.891.966.851,40","9.347.955.310,00"
Sergipe,MAR,2025,"1.057.800.900,00","211.560.180,00"
Sergipe,TERRA,2025,"912.631.375,60","166.846.130,00"
Sergipe,MAR,2026,"3.984.986.062,50","808.264.170,00"
Sergipe,TERRA,2026,"631.439.852,60","95.617.110,00"
Sergipe,MAR,2027,"6.284.877.757,90","1.290.478.930,00"
Sergipe,TERRA,2027,"480.285.526,80","71.527.240,00"
Sergipe,MAR,2028,"11.532.097.905,30","2.387.597.910,00"
Sergipe,TERRA,2028,"269.030.477,90","40.969.620,00"
Sergipe,MAR,2029,"11.991.252.374,20","2.503.392.980,00"
Sergipe,TERRA,2029,"8.130.735,80","1.274.410,00"
Solimões,TERRA,2025,"113.780.950,00","22.756.190,00"
Solimões,TERRA,2026,"929.536.973,20","184.382.290,00"
Solimões,TERRA,2027,"351.001.938,40","72.074.320,00"
Solimões,TERRA,2028,"341.417.388,90","70.686.830,00"
Solimões,TERRA,2029,"152.249.192,00","31.784.800,00"
Tucano Sul,TERRA,2025,"30.523.645,80","5.772.630,00"
Tucano Sul,TERRA,2026,"28.880.800,00","5.554.000,00"
Tucano Sul,TERRA,2027,"54.993.642,20","10.595.060,00"
Tucano Sul,TERRA,2028,"0,00","0,00"
Tucano Sul,TERRA,2029,"0,00","0,00"
